"ID";"Catégorie";"Produit";"Prix (F CFA)";"Stock"
"1e3adb95-f07f-4e1c-b839-57404699486d";"Boissons — Bières";"Desperados";"1000";"100"
"5576c3b7-9e6e-4302-9fe6-2213d79209ee";"Boissons — Bières";"Heineken";"1000";"100"
"a7a41d75-4b9f-4901-9d05-91d01a71bab7";"Boissons — Bières";"Panaché";"1000";"100"
"a5c8d0f6-d141-48d2-9d92-5fc4490408bf";"Boissons — Champagnes";"LP Laurent-Perrier";"50000";"100"
"6b23691b-cef4-4916-9ca8-2c250d92f32a";"Boissons — Champagnes";"Moët Nectar";"60000";"100"
"c2404430-a363-43f3-b686-d919788a2b30";"Boissons — Champagnes";"Nicolas Feuillatte";"45000";"100"
"90c83e48-57a1-4a17-93a0-36b53e62115c";"Boissons — Champagnes";"Veuve Clicquot";"71000";"100"
"973459b5-9b65-434a-b6df-f3e482424908";"Boissons — Jus et sodas";"Canette";"1000";"100"
"1a9ab77b-81d3-418d-92c1-5161d54a8445";"Boissons — Jus et sodas";"Jus de fruits naturels";"1000";"100"
"acc45b40-0291-4c91-a73d-3778b9ac9303";"Boissons — Vins et liqueurs";"Bailey's";"20000";"100"
"2058290c-1102-4465-a90d-f41859bc9240";"Boissons — Vins et liqueurs";"Chêne Margot";"7000";"100"
"65fb2d41-2470-4ad0-a4e1-2e7db1f17e31";"Boissons — Vins et liqueurs";"Crosse Blanc";"5000";"100"
"f2b093b6-5812-4246-9e2c-8d68f07ab8e3";"Boissons — Vins et liqueurs";"Guigal Côte du Rhône";"16000";"100"
"d5284535-733d-4757-b1b0-f8863aa7df2e";"Boissons — Vins et liqueurs";"Martini Rouge";"15000";"100"
"52b705e6-2ba0-43a5-b63c-05b755d22154";"Boissons — Vins et liqueurs";"Vin Rouge 1935";"10000";"100"
"0a80edb6-ab67-42a3-ba36-e76458d6523c";"Desserts";"Fondant au chocolat";"2000";"100"
"200322ca-abb8-4e27-9c50-871e2c707554";"Desserts";"Mousse au chocolat";"2000";"100"
"4590f8a9-0840-4f3f-9f66-9935838264ed";"Desserts";"Salade de fruits";"2000";"100"
"632a4855-290c-4d7c-bc54-0b511a05128b";"Desserts";"Tartelettes aux fruits";"2000";"100"
"d81bb773-7669-4a3c-8a14-e1e3e89340c9";"Glaces — 1 boule";"Glace Caramel — 1 boule";"1000";"100"
"b49cd6d1-5c57-4ac8-8e86-eeb86d374eb5";"Glaces — 1 boule";"Glace Chocolat — 1 boule";"1000";"100"
"437d352d-f45e-470d-a9c3-c2898f7775f1";"Glaces — 1 boule";"Glace Céréales — 1 boule";"1000";"100"
"3e6b724d-bb8d-484e-bf38-5dea5e48fd4e";"Glaces — 1 boule";"Glace Fraise — 1 boule";"1000";"100"
"a9766610-7b96-46cb-a115-ff23cfb6d319";"Glaces — 1 boule";"Glace Fruits des bois — 1 boule";"1000";"100"
"00d7573c-a10d-4eb9-b794-4798a5befb21";"Glaces — 1 boule";"Glace Kinder — 1 boule";"1000";"100"
"09375e12-9936-46b5-ba79-cc0443dbe6ef";"Glaces — 1 boule";"Glace Malaga — 1 boule";"1000";"100"
"b6bbff71-79b0-43c2-a5bc-5067885451c3";"Glaces — 1 boule";"Glace Menthe — 1 boule";"1000";"100"
"8774a7cd-ff6c-4306-bfa7-71a8bfb71880";"Glaces — 1 boule";"Glace Nutella — 1 boule";"1000";"100"
"f498de8e-87fd-4b56-a695-cbb3cdf6abef";"Glaces — 1 boule";"Glace Oréo — 1 boule";"1000";"100"
"276826ca-1a00-4a41-aea6-211d30870213";"Glaces — 1 boule";"Glace Vanille — 1 boule";"1000";"100"
"e38599f0-3051-42b2-b97f-12f2aff268b4";"Glaces — Pots 3 000 F";"Glace Caramel — Pot 3 000 F";"3000";"100"
"2b20beac-dcb3-4380-9eab-069571793b06";"Glaces — Pots 3 000 F";"Glace Chocolat — Pot 3 000 F";"3000";"100"
"1895c183-afe7-49dd-a7b5-f6e90cd0aec8";"Glaces — Pots 3 000 F";"Glace Céréales — Pot 3 000 F";"3000";"100"
"bf45b5b2-23a7-4e0a-8992-9406f73b4e09";"Glaces — Pots 3 000 F";"Glace Fraise — Pot 3 000 F";"3000";"100"
"69a392e1-19a0-46a1-8130-95cfb5b41e8c";"Glaces — Pots 3 000 F";"Glace Fruits des bois — Pot 3 000 F";"3000";"100"
"896440e1-2750-4aea-9e2a-c1b05530772d";"Glaces — Pots 3 000 F";"Glace Kinder — Pot 3 000 F";"3000";"100"
"018440d7-1386-4e76-a438-9f0c3745178e";"Glaces — Pots 3 000 F";"Glace Malaga — Pot 3 000 F";"3000";"100"
"0a0e4258-36b2-450b-9c0d-4cb03699fd6e";"Glaces — Pots 3 000 F";"Glace Menthe — Pot 3 000 F";"3000";"100"
"dee54b19-e082-4b24-ae7a-1e64d3268458";"Glaces — Pots 3 000 F";"Glace Nutella — Pot 3 000 F";"3000";"100"
"cfb1d365-ff3e-465a-ac3f-634984418c09";"Glaces — Pots 3 000 F";"Glace Oréo — Pot 3 000 F";"3000";"100"
"558c7512-45d6-49be-a020-23fe82aa7bd0";"Glaces — Pots 3 000 F";"Glace Vanille — Pot 3 000 F";"3000";"100"
"e94335de-fd73-4297-963b-abdb05bb2ed3";"Glaces — Pots 5 000 F";"Glace Caramel — Pot 5 000 F";"5000";"100"
"51f14fe3-6a9f-4de6-b67f-699f304ee310";"Glaces — Pots 5 000 F";"Glace Chocolat — Pot 5 000 F";"5000";"100"
"6a46792c-362d-4ca3-a8cf-19a80e1a3ee3";"Glaces — Pots 5 000 F";"Glace Céréales — Pot 5 000 F";"5000";"100"
"2ba23216-a000-4aef-bc62-f0589f8ef235";"Glaces — Pots 5 000 F";"Glace Fraise — Pot 5 000 F";"5000";"100"
"470eed0b-c6ea-4a35-b8f8-2387002b04b1";"Glaces — Pots 5 000 F";"Glace Fruits des bois — Pot 5 000 F";"5000";"100"
"e886a1c7-ac29-4ed8-9818-b54949f42812";"Glaces — Pots 5 000 F";"Glace Kinder — Pot 5 000 F";"5000";"100"
"02201fbc-16fb-4bfb-bfe3-cc10bafb5e5f";"Glaces — Pots 5 000 F";"Glace Malaga — Pot 5 000 F";"5000";"100"
"eac41093-01b2-40bd-8055-238c2fd9da4f";"Glaces — Pots 5 000 F";"Glace Menthe — Pot 5 000 F";"5000";"100"
